Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent
1,1,1,1,1,2,6.0,11.0,22.5,6.0,2
1,2,2,1,4,2,6.5,7.0,23.9,2.1,4
1,3,3,1,4,2,6.5,8.5,23.9,6.0,4
1,4,4,1,2,2,6.5,7.5,24.75,8.0,4
1,1,5,1,2,2,7.0,10.0,25.3,10.0,4
1,2,2,1,5,2,6.75,8.5,23.9,8.0,4
1,2,2,1,4,2,6.75,12.5,25.3,8.0,4
1,1,1,1,1,2,7.0,13.5,24.2,5.0,2
1,1,1,1,1,2,6.75,10.0,24.15,7.0,2
2,5,6,1,2,2,7.25,10.0,23.9,6.0,5
2,5,7,1,6,2,5.25,6.0,28.0,3.0,2
1,6,8,2,4,2,7.5,12.5,23.9,7.0,1
3,7,9,1,6,2,7.25,9.0,23.05,15.0,1
1,1,1,1,2,2,7.0,13.5,23.5,6.0,2
1,1,1,1,1,2,7.0,8.5,24.45,6.5,2
1,3,3,1,3,2,7.0,8.5,21.5,10.0,5
1,3,3,1,4,2,7.0,10.0,18.35,10.0,5
3,8,10,1,1,2,7.6,17.5,24.7,2.0,5
1,1,1,1,1,2,6.5,12.5,24.15,5.0,2
1,3,3,1,2,2,7.0,6.0,25.0,35.0,5
1,4,4,1,2,2,5.75,5.0,26.95,8.0,2
1,1,1,1,1,2,7.0,13.5,23.9,10.0,2
1,9,11,1,4,2,7.5,16.5,23.55,13.0,6
1,1,1,1,1,2,6.75,10.0,23.0,5.0,2
1,3,3,1,3,2,7.0,12.0,23.35,8.0,5
1,2,12,1,4,2,6.0,7.0,24.75,3.0,2
1,3,3,1,5,2,7.0,12.5,20.55,8.0,5
1,2,13,1,3,2,6.5,12.5,25.0,30.0,2
1,6,14,1,6,2,7.75,25.0,26.95,2.5,2
1,3,3,1,4,2,6.75,8.5,21.95,8.0,5
1,2,15,1,4,1,5.0,5.5,25.85,4.0,2
1,1,1,1,1,2,6.5,11.0,25.0,6.0,2
1,3,3,1,4,2,6.75,8.5,23.9,6.0,5
1,2,16,1,3,2,7.25,14.0,25.0,5.0,2
1,2,16,1,4,2,6.25,3.5,23.05,4.0,2
1,2,16,1,3,2,6.5,10.5,25.0,3.5,2
2,5,6,1,6,2,7.0,6.0,23.85,4.0,5
1,3,3,1,2,2,6.5,8.5,24.15,5.0,5
1,3,3,3,2,2,7.0,15.0,23.0,90.0,5
1,1,1,1,1,2,6.75,8.5,25.0,6.0,2
1,2,16,1,4,2,6.5,12.5,22.8,7.5,2
1,6,17,2,2,2,6.5,12.5,20.85,5.0,2
1,2,16,1,4,2,6.75,11.5,24.0,6.0,2
1,1,1,1,1,2,7.0,13.5,24.75,5.5,2
1,2,16,1,4,2,6.75,10.0,25.0,5.0,2
1,2,16,1,2,2,7.0,10.0,25.0,8.0,2
1,3,3,1,3,2,7.0,10.0,23.9,10.0,5
1,2,16,1,4,2,7.0,7.5,22.8,5.5,2
2,5,6,1,1,2,6.9,8.0,23.35,4.0,5
1,3,18,2,1,2,6.75,10.0,26.1,18.0,5
1,3,3,1,4,2,7.0,10.0,23.9,4.5,5
1,2,2,1,4,2,6.75,10.5,25.0,10.0,4
2,5,6,1,6,2,7.75,6.0,28.0,2.5,5
1,3,3,1,4,2,6.75,7.0,23.9,5.0,5
1,4,4,1,2,2,5.25,5.0,25.3,7.5,2
1,2,16,1,4,2,6.75,7.5,24.0,4.0,2
1,2,2,1,4,2,7.0,12.5,24.75,16.0,4
1,3,3,2,4,2,6.75,6.0,21.95,15.0,5
1,6,14,1,4,2,7.75,8.5,26.95,2.5,2
1,6,17,1,4,2,6.25,4.0,23.9,4.5,2
1,2,16,1,4,2,6.25,3.5,23.05,2.5,2
1,6,19,1,1,2,6.75,6.5,21.95,6.0,4
1,9,11,1,4,2,7.25,15.0,28.0,13.0,6
1,4,4,1,3,2,6.75,10.0,24.45,8.0,2
1,3,3,1,2,2,5.5,6.5,24.2,20.0,5
1,1,20,1,1,2,6.8,16.0,25.0,12.5,1
1,2,16,1,4,2,5.5,3.0,26.1,3.0,2
1,2,16,1,4,2,6.75,8.5,24.5,5.0,2
1,1,1,1,1,2,6.75,10.0,25.3,7.0,2
1,1,1,1,1,2,7.0,15.0,24.5,7.0,2
1,2,16,3,4,1,6.5,12.5,24.5,12.0,2
1,2,16,2,4,2,7.0,18.5,22.8,7.0,2
1,10,21,2,2,1,7.5,5.5,24.45,4.2,5
1,3,3,1,3,2,5.5,3.0,20.3,3.5,4
1,1,20,1,1,2,6.25,7.0,26.0,15.0,2
2,5,6,1,2,2,7.9,7.0,27.2,2.5,5
1,2,16,1,4,2,5.5,3.0,26.0,5.0,2
1,9,11,1,3,2,7.5,17.5,25.0,8.0,5
1,3,3,1,4,2,7.0,9.0,22.8,2.5,5
1,2,12,1,4,2,5.5,6.5,25.85,3.5,2
1,3,3,1,2,2,6.0,5.5,21.95,5.0,2
1,4,4,1,3,2,5.5,4.5,28.6,10.0,2
1,3,3,1,2,2,7.35,12.0,23.9,5.0,5
1,3,3,1,4,2,6.0,5.5,25.55,2.0,5
1,3,3,1,2,2,7.0,5.5,20.85,7.5,5
1,3,22,1,1,2,7.0,12.0,23.05,43.0,5
1,3,23,1,1,2,7.5,10.0,21.95,6.0,5
1,3,3,1,2,2,7.0,8.5,25.3,7.0,5
1,11,24,2,4,2,5.0,3.25,26.95,6.0,5
2,5,6,1,6,2,7.0,9.0,23.35,4.0,5
1,6,19,1,4,2,7.0,10.0,24.15,6.0,4
1,3,3,1,6,2,6.75,10.0,26.95,15.0,5
1,6,19,1,5,2,5.5,2.5,23.05,3.5,4
1,3,18,1,1,2,6.25,8.0,25.55,15.0,5
1,3,3,1,6,2,6.25,6.0,25.3,10.0,5
1,2,16,1,6,2,6.75,10.0,24.2,5.5,2
1,4,4,1,3,2,7.0,12.0,25.55,10.0,2
1,2,16,1,4,2,6.5,17.5,25.85,4.0,2
1,2,16,1,4,2,6.5,10.5,25.3,6.5,2
1,2,25,1,5,2,6.5,8.5,25.0,6.5,2
1,1,20,1,1,3,6.5,9.0,23.6,4.0,2
1,1,1,1,1,2,7.0,10.0,25.0,6.0,2
1,11,26,1,2,1,6.5,14.0,25.0,6.5,4
1,2,2,1,4,2,6.7,11.0,25.55,6.0,4
1,4,4,3,6,2,7.0,7.0,27.5,15.0,1
1,2,16,1,4,2,6.75,15.0,24.0,6.0,2
1,2,12,1,4,2,5.5,6.5,26.0,3.5,2
1,2,16,1,4,2,6.5,8.5,25.0,4.0,2
2,5,6,1,6,2,6.75,5.0,20.55,3.0,5
2,5,6,1,6,2,6.75,5.0,20.55,3.0,5
1,1,27,1,2,2,8.0,25.0,25.25,27.5,4
1,12,28,1,4,2,6.75,14.0,24.0,3.0,5
1,1,1,1,2,2,6.75,13.5,23.5,3.5,2
1,2,16,2,3,2,6.5,10.0,25.0,4.5,2
1,1,1,1,1,2,6.5,7.0,24.2,6.0,2
1,3,3,1,2,2,7.25,15.0,22.5,15.0,5
1,1,1,1,1,2,6.75,10.0,24.45,6.5,2
1,2,16,1,2,2,6.5,8.5,25.85,6.0,2
1,4,4,1,6,1,6.0,12.5,28.05,25.0,2
1,2,29,1,4,2,6.5,12.5,23.9,2.5,4
1,3,3,1,4,2,7.0,5.0,25.0,5.0,5
1,1,1,1,1,2,5.5,8.5,23.0,5.0,2
1,6,14,1,6,2,7.0,12.5,20.0,6.0,2
1,3,18,1,2,2,6.75,7.5,25.85,6.0,5
1,11,26,1,2,1,6.75,10.0,20.85,7.0,4
1,11,24,1,4,2,6.75,7.0,25.0,8.0,5
1,9,11,1,3,2,7.0,10.0,24.15,6.0,6
1,2,12,1,4,2,6.5,6.5,25.0,3.5,2
1,13,30,3,3,2,7.0,15.0,25.0,3.5,5
1,3,3,1,4,2,5.25,3.0,24.5,2.5,5
1,3,3,1,4,2,6.75,8.5,25.85,4.0,5
1,6,19,1,5,2,7.5,12.5,24.45,5.0,4
1,3,3,1,4,2,6.0,7.0,25.0,3.5,5
1,2,16,1,4,2,6.5,6.5,25.5,3.0,2
1,6,14,1,6,2,7.75,25.0,26.5,5.0,2
1,4,4,2,6,2,6.5,10.0,26.1,20.0,1
1,4,4,1,2,2,6.25,8.5,27.5,10.0,2
1,4,4,2,2,2,8.0,12.5,25.0,10.0,4
1,1,1,1,2,2,7.0,13.5,24.15,5.0,2
1,2,16,1,2,2,6.0,11.0,25.85,2.0,2
1,11,24,2,5,2,6.5,6.0,24.15,7.0,5
1,1,1,1,1,2,6.5,8.5,23.9,9.0,2
1,3,3,1,2,2,7.7,17.5,22.8,4.0,5
1,3,3,1,4,2,6.75,7.5,24.0,3.5,5
1,2,16,1,2,2,6.25,6.0,24.75,4.5,2
1,10,31,1,1,2,7.0,13.5,27.5,12.0,6
1,3,32,1,2,2,7.25,6.0,15.85,10.0,5
1,3,3,1,2,2,7.25,3.0,17.25,10.0,3
1,2,16,1,4,2,6.75,7.5,26.7,3.5,2
1,3,3,1,4,2,6.5,10.0,26.1,2.0,5
1,4,4,2,6,2,7.5,20.0,25.0,9.0,4
1,1,1,1,1,2,7.0,15.0,22.5,5.0,2
1,1,1,1,1,2,6.5,8.5,23.05,7.0,2
1,1,1,1,1,2,7.0,13.5,24.15,5.0,2
1,1,1,1,1,2,7.0,13.5,24.2,5.0,2
1,3,3,1,1,2,6.75,9.0,23.35,15.0,5
1,2,16,1,4,2,6.75,10.0,25.0,2.0,2
1,3,3,1,4,2,6.5,6.5,23.05,5.0,5
1,2,16,1,4,2,7.0,14.0,23.05,4.5,2
1,3,3,1,4,2,6.25,6.0,26.65,4.0,5
1,3,3,1,4,2,7.0,8.5,23.0,6.0,5
1,4,4,2,2,2,7.25,11.5,26.95,15.0,1
1,4,4,1,6,2,6.5,10.0,25.0,15.0,2
1,1,1,1,1,2,6.5,11.0,22.5,5.0,2
1,2,16,1,4,2,6.5,10.0,25.5,3.5,2
1,1,1,1,1,2,7.0,12.5,25.0,13.0,2
1,1,1,1,1,2,7.0,8.5,23.5,7.0,2
1,2,16,1,4,2,6.5,9.0,25.0,4.0,2
1,2,16,1,4,2,5.5,6.0,23.5,6.0,2
1,1,20,1,1,2,6.75,10.0,27.2,12.0,2
1,9,11,1,3,2,7.0,13.0,25.0,5.5,6
1,11,24,3,4,1,6.25,15.0,20.0,10.0,5
1,2,16,1,4,2,4.25,3.0,25.0,4.5,2
1,1,1,1,1,2,7.25,10.0,24.15,7.5,2
1,6,19,1,4,2,7.0,10.0,24.15,5.0,4
1,1,20,1,1,2,6.25,5.5,24.15,25.0,2
1,4,4,1,2,2,6.25,8.5,24.15,10.0,2
1,11,24,1,4,2,5.0,15.0,22.5,10.0,5
3,7,9,1,6,2,7.75,16.0,25.55,5.0,1
1,3,3,2,4,2,7.0,12.0,24.7,10.0,5
1,11,24,1,6,2,7.25,15.0,25.0,70.0,5
1,11,24,1,4,2,7.25,15.0,25.0,50.0,5
1,2,16,1,4,2,6.75,12.5,25.0,6.0,2
1,1,33,1,3,2,7.0,6.5,25.55,15.0,5
1,3,3,1,4,2,7.0,6.5,20.85,5.5,5
1,3,3,1,6,2,6.75,8.0,25.3,3.0,5
1,2,16,1,3,2,6.5,9.0,25.5,5.0,2
1,3,3,1,4,2,7.0,5.5,20.85,7.5,5
1,1,1,1,1,2,7.0,7.5,23.9,7.0,2
2,5,6,1,6,2,7.0,4.5,24.0,5.0,5
1,1,20,1,1,2,6.75,10.0,27.5,22.5,2
1,3,3,1,4,2,7.0,11.5,21.95,3.0,5
1,2,16,1,4,2,6.5,6.5,25.0,4.0,2
1,1,20,1,2,2,6.75,10.0,27.2,8.0,2
1,3,3,1,4,2,6.5,10.0,24.2,7.5,5
1,2,16,1,6,2,6.5,8.0,25.85,4.0,2
1,1,20,1,1,2,6.5,8.0,23.35,12.0,1
1,3,3,1,4,2,6.0,11.5,22.5,5.0,5
1,10,21,1,2,2,7.5,5.0,26.4,5.0,5
1,2,34,1,4,2,6.5,14.0,24.45,10.0,2
1,4,4,3,6,2,8.0,17.5,25.3,13.0,4
1,2,12,1,6,2,6.75,12.0,23.65,4.0,2
1,2,16,1,4,2,6.5,10.0,25.0,3.5,2
1,6,35,1,4,2,6.75,12.5,24.15,10.0,5
1,3,36,1,1,2,7.0,7.5,26.65,12.5,5
1,3,3,1,3,2,5.5,17.5,23.5,5.5,5
2,5,6,1,6,2,7.0,7.0,26.0,4.0,5
2,5,6,1,6,2,7.5,6.0,23.6,3.0,5
1,1,1,1,1,2,7.0,10.0,23.9,7.5,2
1,2,16,1,4,2,5.5,7.0,26.4,2.5,2
1,1,20,1,1,2,6.5,6.0,27.8,15.0,2
1,13,30,3,3,1,7.85,9.5,26.7,15.0,5
1,3,18,2,1,2,6.75,9.0,27.5,25.0,5
1,1,1,1,2,2,6.0,13.5,24.5,4.5,2
1,3,3,1,4,2,6.25,8.5,24.45,5.0,5
1,2,16,1,4,2,6.5,12.5,25.85,5.0,2
1,1,1,1,1,2,6.75,12.5,24.0,6.0,2
1,3,3,1,3,2,7.0,10.0,21.95,5.0,5
1,3,23,1,1,2,7.25,6.5,21.95,8.0,5
1,2,12,1,4,2,6.0,6.5,25.3,5.0,2
1,9,11,1,4,2,6.0,8.5,25.0,3.5,6
1,11,24,1,4,2,6.75,7.0,25.0,7.0,5
1,3,36,1,2,2,7.0,6.0,19.75,25.0,5
1,1,1,1,1,2,7.0,8.5,24.15,5.0,2
1,3,37,1,2,2,6.75,7.0,26.0,3.5,5
1,2,16,1,4,2,5.5,10.0,23.9,2.0,2
1,1,1,1,1,2,5.5,12.5,22.8,6.5,2
1,2,16,1,4,2,7.0,10.0,23.5,6.0,2
1,14,38,1,2,2,7.0,14.0,25.0,8.0,5
1,3,3,1,2,2,7.0,10.0,25.85,4.5,5
1,2,16,2,4,2,6.5,10.0,25.0,6.0,2
1,9,11,1,3,2,7.0,10.0,26.65,3.5,5
1,3,3,1,2,2,6.5,3.0,23.05,4.0,4
1,2,2,1,4,2,6.5,6.5,24.0,3.0,4
1,4,4,2,2,2,7.0,11.0,25.0,15.0,4
1,9,11,1,3,2,7.75,12.5,25.0,7.0,5
1,3,36,1,2,2,7.5,15.0,21.5,18.0,5
1,2,16,1,4,2,6.5,8.0,25.85,4.0,2
1,2,16,1,3,2,6.5,8.5,25.0,6.0,2
1,4,4,1,2,2,7.0,12.5,25.0,10.0,4
