Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Clown Rasbora,/species-spotlight/clown-rasbora/,Rasborakalochroma,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.25,6.0,25.3,10.0,AS,-5.3949523,1.2150911,-1.9567286
Cochus Blue Tetra,/species-spotlight/cochus-blue-tetra/,Boehlkeafredcochui,Actinopterygii,Characiformes,Characidae,Peaceful,All Levels,Omnivore,6.75,10.0,24.2,5.5,SA,8.005128,1.461384,-0.34073803
Cockatoo Dwarf Cichlid,/species-spotlight/cockatoo-dwarf-cichlid/,Apistogrammacacatuoides,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,7.0,12.0,25.55,10.0,SA,-7.2871165,-0.25167695,0.63705635
Coffee Bean Tetra,/species-spotlight/coffee-bean-tetra/,Hyphessobrycontakasei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,17.5,25.85,4.0,SA,4.6505723,2.8292081,1.326682
Colombian Redfin Tetra,/species-spotlight/colombian-redfin-tetra/,Hyphessobryconcolumbianus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.5,25.3,6.5,SA,6.867309,0.5182581,0.57608545
Common Hatchetfish,/species-spotlight/common-hatchetfish/,Gasteropelecussternicla,Actinopterygii,Characiformes,Gasteropelecidae,Peaceful,Top,Omnivore,6.5,8.5,25.0,6.5,SA,6.8655934,-4.9634814,2.3798625
Common Otocinclus,/species-spotlight/common-otocinclus/,Otocinclusvittatus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Herbivore,6.5,9.0,23.6,4.0,SA,8.370729,-2.6357522,2.2267916
Concolour Corydoras,/species-spotlight/concolour-corydoras/,Corydorasconcolor,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,10.0,25.0,6.0,SA,-13.235039,0.16815914,-1.9537851
Congo Ctenopoma,/species-spotlight/congo-ctenopoma/,Ctenopomacongicum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.5,14.0,25.0,6.5,AF,6.6546874,-9.115078,-1.6163069
Congo Tetra,/species-spotlight/congo-tetra/,Phenacogrammusinterruptus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.7,11.0,25.55,6.0,AF,-7.2017293,1.8331933,1.7493069
Convict Cichlid,/species-spotlight/convict-cichlid/,Amatitlanianigrofasciata,Actinopterygii,Cichliformes,Cichlidae,Aggressive,All Levels,Omnivore,7.0,7.0,27.5,15.0,NAM,-2.72819,-1.6475784,0.22062892
Copei Tetra,/species-spotlight/copei-tetra/,Moenkhausiacopei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,15.0,24.0,6.0,SA,5.1275845,2.4243171,0.8092388
Coral Red Pencilfish,/species-spotlight/coral-red-pencilfish/,Nannostomusmortenthaleri,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,26.0,3.5,SA,13.219943,0.9746572,-1.6587554
Costello Tetra,/species-spotlight/costello-tetra/,Hemigrammushyanuary,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,25.0,4.0,SA,9.840263,0.65543896,0.85035783
Crystal Black Shrimp,/species-spotlight/crystal-black-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752
Crystal Red Shrimp,/species-spotlight/crystal-red-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752
Cuckoo Catfish,/species-spotlight/cuckoo-catfish/,Synodontismultipunctatus,Actinopterygii,Siluriformes,Mochokidae,Peaceful,Bottom - Middle,Omnivore,8.0,25.0,25.25,27.5,AF,2.7045937,-5.8448257,-1.0232279
Daisys Blue Ricefish,/species-spotlight/daisys-blue-ricefish/,Oryziaswoworae,Actinopterygii,Beloniformes,Adrianichthyidae,Peaceful,Middle - Top,Omnivore,6.75,14.0,24.0,3.0,AS,7.065533,-9.7016735,-1.159513
Darter Corydoras,/species-spotlight/darter-corydoras/,Corydorassp.CW153,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,13.5,23.5,3.5,SA,-13.433596,-1.7884258,2.6385798
Dawn Tetra,/species-spotlight/dawn-tetra/,Aphyocharaxparaguayensis,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle,Omnivore,6.5,10.0,25.0,4.5,SA,8.314606,0.7798604,1.7707283
Delphax Corydoras,/species-spotlight/delphax-corydoras/,CorydorasDelphax,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,7.0,24.2,6.0,SA,-12.250449,2.2676919,-2.5163326
Denison Barb,/species-spotlight/denison-barb/,Sahyadriadenisonii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,15.0,22.5,15.0,AS,-5.370573,-3.1732395,-0.3828456
Desana Corydoras,/species-spotlight/desana-corydoras/,Corydorasdesana,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.45,6.5,SA,-12.889641,0.15137665,-1.7756763
Diamond Tetra,/species-spotlight/diamond-tetra/,Moenkhausiapittieri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,25.85,6.0,SA,8.069693,-1.0210037,0.5874403
Discus,/species-spotlight/discus/,"Symphysodonaequifasciatus,Symphysodondiscus,Symphysodon",Actinopterygii,Cichliformes,Cichlidae,Peaceful,All Levels,Carnivore,6.0,12.5,28.05,25.0,SA,-2.0360754,-3.070048,-0.46070093
Domino Tetra,/species-spotlight/domino-tetra/,Neolebiaspowelli,Actinopterygii,Characiformes,Distichodontidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,23.9,2.5,AF,6.8507476,-5.6294484,2.560333
Drape Fin Barb,/species-spotlight/drape-fin-barb/,Oreichthyscrenuchoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,5.0,25.0,5.0,AS,-7.4723945,5.5515957,-1.6905808
Duplicate Corydoras,/species-spotlight/duplicate-corydoras/,Corydorasduplicareus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,5.5,8.5,23.0,5.0,SA,-12.827532,2.0790224,-1.1328539
Dusky Millions Fish,/species-spotlight/dusky-millions-fish/,Phalloceroscaudimaculatus,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.0,12.5,20.0,6.0,SA,6.0939803,3.5248551,-1.0036007
Dwarf Chain Loach,/species-spotlight/dwarf-chain-loach/,AmbastaiaSidthimunki,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.5,25.85,6.0,AS,8.027505,-2.4861834,0.05710139
Dwarf Ctenopoma,/species-spotlight/dwarf-ctenopoma/,Microctenopomananum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.75,10.0,20.85,7.0,AF,6.883465,-8.525338,-0.82312304
Dwarf Gourami,/species-spotlight/dwarf-gourami/,Trichogasterlalius,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,25.0,8.0,AS,7.6915874,-7.516629,-1.1093996
Dwarf Neon Rainbowfish,/species-spotlight/dwarf-neon-rainbowfish/,Melanotaeniapraecox,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.0,10.0,24.15,6.0,OC,3.127722,7.0083137,-1.9221117
Dwarf Pencilfish,/species-spotlight/dwarf-pencilfish/,Nannostomusmarginatus,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.0,3.5,SA,13.086645,1.0828935,-1.8141888
Dwarf Pufferfish,/species-spotlight/dwarf-pufferfish/,CarinotetraodonTravancoricus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Aggressive,Middle,Omnivore,7.0,15.0,25.0,3.5,AS,6.879992,-9.935221,-0.852507
Dwarf Rasbora,/species-spotlight/dwarf-rasbora/,Borarasmaculatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.25,3.0,24.5,2.5,AS,-8.823486,6.4430966,-1.8682467
Dwarf Spotted Danio,/species-spotlight/dwarf-spotted-danio/,Danionigrofasciatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,25.85,4.0,AS,-6.39356,6.324121,-0.10104411
Eggers Killifish,/species-spotlight/eggers-killifish/,Nothobranchiuseggersi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,7.5,12.5,24.45,5.0,AF,8.056169,-3.9894576,-1.7227592
Eight Banded False Barb,/species-spotlight/eight-banded-false-barb/,Eirmotusoctozona,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,25.0,3.5,AS,-7.417383,6.3699346,-0.5641592
Eilyos Tetra,/species-spotlight/eilyos-tetra/,Hyphessobryconeilyos,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.5,3.0,SA,11.77508,0.11729083,0.64002293
El Tigre Endler,/species-spotlight/el-tigre-endler/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.75,25.0,26.5,5.0,SA,2.8343923,3.2624984,0.8784748
Electric Blue Jack Dempsey,/species-spotlight/electric-blue-jack-dempsey/,Rociooctofasciatacf,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,All Levels,Omnivore,6.5,10.0,26.1,20.0,NAM,-2.5159743,-2.6449606,-0.2184095
Electric Blue Ram Cichlid,/species-spotlight/electric-blue-ram-cichlid/,Mikrogeophagusramirezi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.25,8.5,27.5,10.0,SA,-7.7770376,0.94023895,-1.5748839
Electric Yellow Cichlid,/species-spotlight/electric-yellow-cichlid/,Labidochromiscaeruleus,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,Bottom - Middle,Omnivore,8.0,12.5,25.0,10.0,AF,-6.9541016,-0.4404677,0.93147695
Elegant Corydoras,/species-spotlight/elegant-corydoras/,Corydoraselegans,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,7.0,13.5,24.15,5.0,SA,-12.409099,-1.8458408,2.2830462
Ember Tetra,/species-spotlight/ember-tetra/,Hyphessobryconamandae,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.0,11.0,25.85,2.0,SA,8.905557,2.5970678,2.6869278
Emerald Betta,/species-spotlight/emerald-betta/,Bettasmaragdina,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Top,Omnivore,6.5,6.0,24.15,7.0,AS,8.0389385,-7.4654617,-0.95503515
Emerald Brochis Corydoras,/species-spotlight/emerald-brochis-corydoras/,Corydorassplendens,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,8.5,23.9,9.0,SA,-11.310431,0.55468315,-2.3883097
Emerald Dwarf Danio,/species-spotlight/emerald-dwarf-danio/,Danioerythromicron,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.7,17.5,22.8,4.0,AS,-9.934375,-2.3745942,2.7581637
Emerald Eye Rasbora,/species-spotlight/emerald-eye-rasbora/,Breviboradorsiocellata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,24.0,3.5,AS,-7.3397565,5.9451056,0.016812963
Emperor Tetra,/species-spotlight/emperor-tetra/,Nematobryconpalmeri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.25,6.0,24.75,4.5,SA,11.730502,-1.243163,1.0179422
Empire Gudgeon,/species-spotlight/empire-gudgeon/,Hypseleotriscompressa,Actinopterygii,Gobiiformes,Eleotridae,Peaceful,Bottom,Omnivore,7.0,13.5,27.5,12.0,OC,5.355061,-8.365659,-0.0649087
Eurasian Minnow,/species-spotlight/eurasian-minnow/,Phoxinusphoxinus,Actinopterygii,Cypriniformes,Leuciscidae,Peaceful,Bottom - Middle,Omnivore,7.25,6.0,15.85,10.0,AS,5.2808084,-7.304209,3.2524848
European Bitterling,/species-spotlight/european-bitterling/,Rhodeusamarus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,3.0,17.25,10.0,EU,-3.7487304,3.2569304,-1.766645
Exclamation Mark Tetra,/species-spotlight/exclamation-mark-tetra/,Bryconellapallidifrons,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,26.7,3.5,SA,11.319541,0.85924834,0.52304226
Exclamation Point Rasbora,/species-spotlight/exclamation-point-rasbora/,Borarasurophthalmoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,10.0,26.1,2.0,AS,-6.0917253,6.8573384,0.18354133
Fairy Cichlid,/species-spotlight/fairy-cichlid/,Neolamprologusbrichardi,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,All Levels,Omnivore,7.5,20.0,25.0,9.0,AF,-8.119295,-2.1550426,2.3207293
Fairy Corydoras,/species-spotlight/fairy-corydoras/,Corydorasatropersonatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,15.0,22.5,5.0,SA,-12.6681385,-3.2551024,1.759158
False Armatus Corydoras,/species-spotlight/false-armatus-corydoras/,Corydorassp,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,8.5,23.05,7.0,SA,-11.895167,1.2485476,-1.557959
False Bandit Corydoras,/species-spotlight/false-bandit-corydoras/,Corydorasmelini,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,5.0,SA,-12.938341,-2.1366665,1.594769
False Network Corydoras,/species-spotlight/false-network-corydoras/,Corydorassodalis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA,-12.637552,-2.2536874,1.8804537
False Siamese Algae Eater,/species-spotlight/false-siamese-algae-eater/,Garracambodgiensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,6.75,9.0,23.35,15.0,AS,-4.4419646,-1.707541,-1.3799742
Fire Ant Tetra,/species-spotlight/fire-ant-tetra/,Hyphessobryconmyrmex,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.0,2.0,SA,9.672728,2.533862,1.8631071
Fire Bar Danio,/species-spotlight/fire-bar-danio/,Devariomaetaengensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,23.05,5.0,AS,-6.876897,4.949474,-0.9228117
Fire Green Tetra,/species-spotlight/fire-green-tetra/,Aphyocharaxrathbuni,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,14.0,23.05,4.5,SA,5.7436433,2.7817438,0.6737923
Fire Rasbora,/species-spotlight/fire-rasbora/,RasboroidesVaterifloris,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.25,6.0,26.65,4.0,AS,-7.3871956,6.609228,-1.4603926
Fireline Danio,/species-spotlight/fireline-danio/,Devariosondhii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,8.5,23.0,6.0,AS,-6.080132,3.9092102,0.26904598
Firemouth Cichlid,/species-spotlight/firemouth-cichlid/,Thorichthysmeeki,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,Bottom - Middle,Omnivore,7.25,11.5,26.95,15.0,NAM,-3.746161,-3.0213094,0.3039689
Flag Cichlid,/species-spotlight/flag-cichlid/,MesonautaFestivus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,All Levels,Omnivore,6.5,10.0,25.0,15.0,SA,-3.0971007,-2.0431447,0.37227783
Flag Tailed Panda Corydoras,/species-spotlight/flag-tailed-panda-corydoras/,Corydorasoiapoquensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,11.0,22.5,5.0,SA,-13.177252,0.03423503,0.17845003
Flag Tetra,/species-spotlight/flag-tetra/,Hyphessobryconheterorhabdus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.0,25.5,3.5,SA,8.996031,1.6319323,1.6772631
Flagtail Catfish,/species-spotlight/flagtail-catfish/,Dianemaurostriatum,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,12.5,25.0,13.0,SA,-6.3342977,-2.29311,-0.24867429
Flagtail Corydoras,/species-spotlight/flagtail-corydoras/,Corydorasrobineae,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.5,23.5,7.0,SA,-11.956079,1.1078652,-1.9004961
Flame Tetra,/species-spotlight/flame-tetra/,Hyphessobryconflammeus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,9.0,25.0,4.0,SA,9.445166,0.9473465,0.97360474
Flameback Bleeding Heart Tetra,/species-spotlight/flameback-bleeding-heart-tetra/,Hyphessobryconpyrrhonotus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,6.0,23.5,6.0,SA,10.874627,-1.7165414,-0.19469434
Flash Plecostomus,/species-spotlight/flash-plecostomus/,Panaqolusalbivermis,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.75,10.0,27.2,12.0,SA,4.5891204,-2.4980655,1.1694386
Forktail Blue Eye Rainbowfish,/species-spotlight/forktail-blue-eye-rainbowfish/,Pseudomugilfurcatus,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.0,13.0,25.0,5.5,OC,3.2887218,6.355118,-1.3237075
Frail Gourami,/species-spotlight/frail-gourami/,Ctenopsnobilis,Actinopterygii,Anabantiformes,Osphronemidae,Aggressive,Middle - Top,Carnivore,6.25,15.0,20.0,10.0,AS,5.8116903,-8.75142,-2.2739375
Frankei Tetra,/species-spotlight/frankei-tetra/,Hyphessobryconfrankei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,4.25,3.0,25.0,4.5,SA,12.9386425,-1.8794664,-0.29742116
Fulleri Corydoras,/species-spotlight/fulleri-corydoras/,CorydorasfulleriC115/C116,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.25,10.0,24.15,7.5,SA,-12.154554,-0.038021285,-1.9750681
Gabon Killifish,/species-spotlight/gabon-killifish/,Aphyosemiongabunense,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,24.15,5.0,AF,8.239198,-4.053129,-1.14237
Galaxy Plecostomus L029,/species-spotlight/galaxy-plecostomus-l029/,Leporacanthicusgalaxias,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.25,5.5,24.15,25.0,SA,1.9021223,-3.9362326,-0.07474824
German Blue Ram Cichlid,/species-spotlight/german-blue-ram-cichlid/,Mikrogeophagusramirezi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.25,8.5,24.15,10.0,SA,-7.6393337,0.8841142,-0.9889524
Giant Chocolate Gourami,/species-spotlight/giant-chocolate-gourami/,Sphaerichthysacrostoma,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,5.0,15.0,22.5,10.0,AS,5.854349,-8.55939,-2.160096
Giant Colombian Ramshorn Snail,/species-spotlight/giant-colombian-ramshorn-snail/,Marisacornuarietis,Gastropoda,Architaenioglossa,Ampullariidae,Peaceful,All Levels,Omnivore,7.75,16.0,25.55,5.0,NAM,3.3543873,5.476388,0.6696815
Giant Danio,/species-spotlight/giant-danio/,Devarioaequipinnatus,Actinopterygii,Cypriniformes,Cyprinidae,Semi-Aggressive,Middle - Top,Omnivore,7.0,12.0,24.7,10.0,AS,-6.2900515,0.08270262,1.0916841
Giant Gourami,/species-spotlight/giant-gourami/,Osphronemusgoramy,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,All Levels,Omnivore,7.25,15.0,25.0,70.0,AS,-0.0039033615,-6.756139,0.11369592
Giant Red Tail Gourami,/species-spotlight/giant-red-tail-gourami/,Osphronemuslaticlavius,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,7.25,15.0,25.0,50.0,AS,0.5546341,-5.9515586,-0.064669736
Glass Bloodfin Tetra,/species-spotlight/glass-bloodfin-tetra/,Prionobramafiligera,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,25.0,6.0,SA,6.046809,1.6520696,0.9129519
Glass Catfish,/species-spotlight/glass-catfish/,Kryptopterusvitreolus,Actinopterygii,Siluriformes,Siluridae,Peaceful,Middle,Omnivore,7.0,6.5,25.55,15.0,AS,4.145054,-8.381898,2.8840356
Glowlight Danio,/species-spotlight/glowlight-danio/,Celestichthyschoprae,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,6.5,20.85,5.5,AS,-4.630561,4.1506615,-0.64108646
Glowlight Rasbora,/species-spotlight/glowlight-rasbora/,Trigonostigmahengeli,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.75,8.0,25.3,3.0,AS,-7.0179853,7.12783,0.1224099
Glowlight Tetra,/species-spotlight/glowlight-tetra/,Hemigrammuserythrozonus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.5,9.0,25.5,5.0,SA,8.62332,-0.08763244,1.0209968
Gold Barb,/species-spotlight/gold-barb/,Barbodessemifasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,5.5,20.85,7.5,AS,-4.46517,3.6790144,-1.2350738
Gold Laser Corydoras,/species-spotlight/gold-laser-corydoras/,CorydorasspCW010,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,7.5,23.9,7.0,SA,-11.839556,1.648199,-2.4586604
Gold Nebula Shrimp,/species-spotlight/gold-nebula-shrimp/,Caridinavilladolidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,4.5,24.0,5.0,AS,-6.1938157,9.777717,0.76563376
