Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Scissortail Rasbora,/species-spotlight/scissortail-rasbora/,Rasboratrilineata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,7.0,23.5,15.0,AS,-3.9568152,-0.75447863,-1.4925919
Serpae Tetra,/species-spotlight/serpae-tetra/,Hyphessobryconeques,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.4,15.0,24.15,4.5,SA,5.2753487,2.7244668,1.151213
Shadow Panda Shrimp,/species-spotlight/shadow-panda-shrimp/,"Caridinacantonensisvar""Panda""",Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.25,4.5,21.1,3.0,AS,-6.01094,9.381208,1.8857595
Siamese Algae Eater,/species-spotlight/siamese-algae-eater/,Crossocheilusoblongus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,7.25,12.5,25.0,16.0,AS,-4.726199,-2.984064,-0.40142792
Siamese Dwarf Rasbora,/species-spotlight/siamese-dwarf-rasbora/,Trigonostigmasomphongsi,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,6.0,23.5,2.5,AS,-8.362781,6.513873,-0.5182638
Siamese Fighting Fish,/species-spotlight/siamese-fighting-fish/,BettaSplendens,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Top,Omnivore,7.0,12.5,25.85,7.0,AS,6.992788,-8.538782,-1.9637796
Siamese Tigerfish,/species-spotlight/siamese-tigerfish/,Datnioidesmicrolepis,Actinopterygii,Perciformes,Datnioididae,Semi-Aggressive,All Levels,Carnivore,7.0,12.5,24.15,45.0,AS,1.9147505,-8.157725,1.0683255
Sidestripe Rasbora,/species-spotlight/sidestripe-rasbora/,Rasborapaviana,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,24.45,10.0,AS,-5.513556,1.3506498,-1.6389897
Silver Flying Fox,/species-spotlight/silver-flying-fox/,Crossocheilusreticulatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Herbivore,6.75,6.5,20.0,17.0,AS,-3.924282,-1.2821181,-2.1916702
Silvertip Tetra,/species-spotlight/silvertip-tetra/,Hasemanianana,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,24.75,5.0,SA,6.379077,2.1747994,1.0705334
Simons Rasbora,/species-spotlight/simons-rasbora/,Rasborasimonbirchi,Actinopterygii,Cypriniformes,Danionidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,24.45,10.0,AS,4.0966415,-10.084801,1.9366679
Six Banded Distichodus,/species-spotlight/six-banded-distichodus/,Distichodussexfasciatus,Actinopterygii,Characiformes,Distichodontidae,Aggressive,Middle,Omnivore,6.75,15.0,24.15,75.0,AF,-0.07259991,-6.9064345,0.15311864
Six Stripes Tetra,/species-spotlight/six-stripes-tetra/,HyphessbryconHexastichos,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.85,6.0,SA,10.676602,-0.80912995,-0.676229
Skunk Corydoras,/species-spotlight/skunk-corydoras/,Corydorasgranti,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.25,7.0,23.9,5.5,SA,-12.433799,2.547246,-2.1462665
Skunk Loach,/species-spotlight/skunk-loach/,Yasuhikotakiamorleti,Actinopterygii,Cypriniformes,Botiidae,Semi-Aggressive,Bottom,Omnivore,7.0,8.5,28.05,10.0,AS,5.319823,-2.3741717,0.40135378
Slant Bar Corydoras,/species-spotlight/slant-bar-corydoras/,Corydorasloxozonus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,22.5,5.0,SA,-13.341651,-2.4729414,1.0563312
Smudge Spot Corydoras,/species-spotlight/smudge-spot-corydoras/,Corydorassimilis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,12.5,24.15,4.0,SA,-13.515118,-1.3449451,1.8377063
Snakehead Betta,/species-spotlight/snakehead-betta/,Bettachannoides,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,5.25,12.5,26.4,5.0,AS,7.3592563,-8.894618,-1.9419856
Snakeskin Barb,/species-spotlight/snakeskin-barb/,DesmopuntiusRhomboocellatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.5,7.5,23.9,5.5,AS,-6.774647,4.5492883,-0.40852314
Snakeskin Gourami,/species-spotlight/snakeskin-gourami/,Trichopoduspectoralis,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Bottom - Middle,Herbivore,7.0,16.0,26.1,20.0,AS,4.343488,-7.319605,-1.8350483
Snowball Plecostomus L102,/species-spotlight/snowball-plecostomus-l102/,HypancistrusInspector,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.75,8.0,26.1,16.0,SA,3.5851886,-3.2003455,0.41305497
Snyders Barb,/species-spotlight/snyders-barb/,Puntiussnyderi,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,11.0,20.0,7.5,AS,-4.3493447,2.6607373,2.0657022
Spanner Barb,/species-spotlight/spanner-barb/,BarbodesLateristriga,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.25,8.0,25.85,18.0,AS,-3.1698143,-1.7699102,-0.99301076
Sparkling Gourami,/species-spotlight/sparkling-gourami/,Trichopsisvittata,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Bottom - Middle,Omnivore,6.75,12.0,26.65,4.0,AS,7.539807,-9.009183,-1.8843676
Spike Tailed Paradise Fish,/species-spotlight/spike-tailed-paradise-fish/,Pseudosphromenusdayi,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.85,7.5,AS,7.3059416,-8.072078,-1.5553926
Spined Loach,/species-spotlight/spined-loach/,Cobitistaenia,Actinopterygii,Cypriniformes,Cobitidae,Peaceful,Bottom,Omnivore,7.5,12.5,15.85,13.5,EU,4.950941,-7.442096,2.7046485
Splash Tetra,/species-spotlight/splash-tetra/,Copellaarnoldi,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.75,7.5,23.9,7.0,SA,12.216507,1.0304286,-2.5863628
Splendid Killifish,/species-spotlight/splendid-killifish/,Aphyosemionsplendopleure,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle,Omnivore,6.75,10.0,23.9,6.0,AF,8.186141,-4.0840983,-0.9293737
Splendid Loach,/species-spotlight/splendid-loach/,Yasuhikotakiasplendida,Actinopterygii,Cypriniformes,Cobitidae,Peaceful,Bottom,Omnivore,7.25,13.0,27.5,10.0,AS,5.0189486,-8.695411,2.1154335
Spotfin Betta,/species-spotlight/spotfin-betta/,Bettamacrostoma,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,5.5,6.0,23.05,10.0,AS,7.4028983,-7.206614,-0.90628266
Spotfin Hatchetfish,/species-spotlight/spotfin-hatchetfish/,Thoracocharaxstellatus,Actinopterygii,Characiformes,Gasteropelecidae,Peaceful,Top,Omnivore,6.25,9.0,23.9,7.0,SA,6.8400874,-4.9548635,2.3452637
Spotted Blue Eye Rainbowfish,/species-spotlight/spotted-blue-eye-rainbowfish/,Pseudomugilgertrudae,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,6.0,8.5,26.0,2.5,OC,4.0192404,7.8512416,-2.0224679
Spotted Corydoras CW27,/species-spotlight/spotted-corydoras-cw27/,CW027,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,12.5,23.05,6.0,SA,-12.797233,-1.5448341,0.50093305
Spotted Hoplo Catfish,/species-spotlight/spotted-hoplo-catfish/,Megalechisthoracata,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,10.5,22.5,15.0,SA,-5.934487,-2.2185361,-0.7965981
Spotted Leporinus,/species-spotlight/spotted-leporinus/,Leporinusnijsseni,Actinopterygii,Characiformes,Anostomidae,Peaceful,Middle - Top,Omnivore,6.25,8.0,23.9,18.0,SA,2.3337152,-2.5266278,-0.7058425
Staeck Endler,/species-spotlight/staeck-endler/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,26.65,4.0,SA,6.230194,5.981829,-0.71408963
Steel Blue Lyretail Killifish,/species-spotlight/steel-blue-lyretail-killifish/,Fundulopanchaxgardneri,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Semi-Aggressive,Bottom - Middle,Omnivore,6.75,8.5,23.6,6.0,AF,8.269741,-4.161245,-0.38231647
Steel Blue Tetra,/species-spotlight/steel-blue-tetra/,Hyphessobryconweitzmanorum,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.85,3.0,SA,11.836711,0.25315475,0.5881346
Sterbas Corydoras,/species-spotlight/sterbas-corydoras/,Corydorassterbai,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.0,23.05,6.5,SA,-12.04272,1.6976125,-1.6456965
Strawberry Leporinus,/species-spotlight/strawberry-leporinus/,Leporinusgranti,Actinopterygii,Characiformes,Anostomidae,Peaceful,Bottom - Middle,Omnivore,6.25,8.0,23.9,20.0,SA,2.278408,-2.6707284,-0.67353314
Strawberry Rasbora,/species-spotlight/strawberry-rasbora/,Borarasnaevus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.5,7.5,23.9,2.0,AS,-8.087485,6.6785774,0.21351266
Striped Barb,/species-spotlight/striped-barb/,Desmopuntiusjohorensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,23.9,12.0,AS,-4.648224,0.3407994,-1.621605
Striped Leporinus,/species-spotlight/striped-leporinus/,Leporinusstriatus,Actinopterygii,Characiformes,Anostomidae,Peaceful,Bottom - Middle,Omnivore,7.0,8.0,24.75,10.0,SA,5.612205,-1.0075608,-1.1126182
Striped Raphael Catfish,/species-spotlight/striped-raphael-catfish/,Platydorasarmatulus,Actinopterygii,Siluriformes,Doradidae,Peaceful,Bottom,Omnivore,6.75,11.0,26.4,25.0,SA,2.7664235,-8.985124,1.5836848
Striped Red Eye Pufferfish,/species-spotlight/striped-red-eye-pufferfish/,Carinotetraodonsalivator,Actinopterygii,Tetraodontiformes,Tetraodontidae,Semi-Aggressive,All Levels,Carnivore,6.5,8.5,25.85,5.0,AS,7.463515,-9.112407,-0.18550758
Sucking Loach,/species-spotlight/sucking-loach/,Gyrinocheilusaymonieri,Actinopterygii,Cypriniformes,Gyrinocheilidae,Aggressive,Bottom,Omnivore,7.25,14.5,26.5,28.0,AS,2.605972,-8.851917,1.4940567
Sulawesi Fan Shrimp,/species-spotlight/sulawesi-fan-shrimp/,Caridinalongidigita,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.75,6.0,26.5,2.5,AS,-6.3173366,9.69212,-0.8823249
Sulawesi Harlequin Shrimp,/species-spotlight/sulawesi-harlequin-shrimp/,Caridinaspongicola,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.75,6.0,27.5,2.0,AS,-6.4176846,9.727436,-1.3251384
Sulawesi Red Line Shrimp,/species-spotlight/sulawesi-red-line-shrimp/,Caridinastriata,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.75,6.0,28.0,2.5,AS,-6.3623643,9.804787,-1.442773
Sulawesi White Orchid Shrimp,/species-spotlight/sulawesi-white-orchid-shrimp/,CaridinaposoKlotz,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,8.0,8.5,28.9,2.0,AS,-5.7419076,9.723214,-1.8046451
Sumo Loach,/species-spotlight/sumo-loach/,Schisturabalteata,Actinopterygii,Cypriniformes,Nemacheilidae,Semi-Aggressive,Bottom,Omnivore,6.75,8.0,24.15,8.0,AS,5.04292,-9.027378,2.7577076
Super Crystal Red Shrimp,/species-spotlight/super-crystal-red-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752
Super Parallelus Corydoras,/species-spotlight/super-parallelus-corydoras/,CorydorasSp(SuperParallelus),Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,23.35,7.5,SA,-11.974351,0.15638332,-1.4424562
Swamp Barb,/species-spotlight/swamp-barb/,PuntiusChola,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,6.25,11.5,22.5,15.0,AS,-4.902342,-2.3108573,-0.88746357
Swamp Blue Eye Rainbowfish,/species-spotlight/swamp-blue-eye-rainbowfish/,Pseudomugilpaludicola,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,28.05,3.5,OC,4.1514573,6.8415217,-1.283686
Swordtail,/species-spotlight/swordtail/,Xiphophorushelleri,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,7.75,21.0,23.05,10.0,NAM,3.2013743,2.7493293,-0.16648947
Tail Spot Pygmy Corydoras,/species-spotlight/tail-spot-pygmy-corydoras/,Corydorashastatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Middle,Omnivore,7.0,12.5,23.9,3.5,SA,-13.531356,-1.2230612,2.7664156
Tailspot Ctenopoma,/species-spotlight/tailspot-ctenopoma/,Ctenopomakingsleyae,Actinopterygii,Anabantiformes,Anabantidae,Semi-Aggressive,Middle,Carnivore,7.0,10.0,23.35,20.0,AF,4.7409444,-7.120253,-1.0332085
Tangerine Tiger Shrimp,/species-spotlight/tangerine-tiger-shrimp/,CaridinaSerrata,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,6.75,4.5,21.65,3.0,AS,-5.395022,8.2273655,2.3667576
Thick Lipped Gourami,/species-spotlight/thick-lipped-gourami/,Trichogasterlabiosa,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,All Levels,Omnivore,6.75,9.5,25.0,10.0,AS,6.87421,-7.5659285,-1.4494183
Threadfin Rainbowfish,/species-spotlight/threadfin-rainbowfish/,Iriatherinawerneri,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Top,Omnivore,6.5,6.5,25.85,3.0,OC,3.992918,8.179861,-2.222845
Three Lined Pencilfish,/species-spotlight/three-lined-pencilfish/,Nannostomustrifasciatus,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.25,5.0,25.85,4.0,SA,13.249838,0.5642931,-1.6035566
Three Spot Gourami,/species-spotlight/three-spot-gourami/,Trichopodustrichopterus,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,7.0,19.0,26.95,15.0,AS,4.6104383,-7.7869854,-2.3626602
Tiger Barb,/species-spotlight/tiger-barb/,Puntigrustetrazona,Actinopterygii,Cypriniformes,Cyprinidae,Semi-Aggressive,Middle,Omnivore,7.0,6.5,23.05,7.5,AS,-5.6771317,3.3138518,-1.45591
Tiger Otocinclus,/species-spotlight/tiger-otocinclus/,Otocincluscocama,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Herbivore,7.0,7.0,23.6,5.0,SA,8.379223,-2.6481726,2.1990743
Tiger Shovelnose Catfish,/species-spotlight/tiger-shovelnose-catfish/,Pseudoplatystomafasciatum,Actinopterygii,Siluriformes,Pimelodidae,Semi-Aggressive,Bottom,Omnivore,7.0,12.5,25.0,90.0,SA,-0.09489989,-7.1362686,0.21895823
Tigris Sulawesi Shrimp,/species-spotlight/tigris-sulawesi-shrimp/,Caridinatigri,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,8.0,7.0,27.5,2.5,AS,-6.039548,9.604621,-1.3460016
Tinfoil Barb,/species-spotlight/tinfoil-barb/,BarbonymusSchwanenfeldii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.3,35.0,AS,-0.7728178,-3.7671485,-0.60072345
Titanic Plecostomus,/species-spotlight/titanic-plecostomus/,Pseudacanthicussp,Actinopterygii,Siluriformes,Loricariidae,Semi-Aggressive,Bottom,Omnivore,6.75,8.0,25.5,30.0,SA,1.4023752,-4.2620926,-0.2698233
Toba Betta,/species-spotlight/toba-betta/,BettaRubra,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Middle - Top,Omnivore,5.5,3.5,23.65,4.0,AS,8.888782,-7.376207,-0.8731333
Toucan Tetra,/species-spotlight/toucan-tetra/,Tucanoichthystucano,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,12.0,21.65,2.0,SA,7.980796,3.3433778,-0.3741775
Transparent Blue Eye Rainbowfish,/species-spotlight/transparent-blue-eye-rainbowfish/,pseudomugilpellucidus,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.25,10.0,25.85,3.5,AS,3.9684043,7.366622,-1.712185
Transvestite Dwarf Cichlid,/species-spotlight/transvestite-dwarf-cichlid/,Nanochromistransvestitus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,5.5,11.5,25.3,7.0,AF,-7.8053923,1.3563616,0.9103069
True Flying Fox,/species-spotlight/true-flying-fox/,Epalzeorhynchoskalopterus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,6.75,8.0,23.05,15.0,AS,-4.34452,-1.4303657,-1.5711342
Twosaddle Corydoras,/species-spotlight/twosaddle-corydoras/,CorydorasWeitzmani,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,6.0,23.65,5.5,SA,-11.942217,2.8765569,-2.3588786
Twostripe Corydoras,/species-spotlight/twostripe-corydoras/,Corydorasbifasciatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,6.0,SA,-12.0220785,-2.0467255,1.2309853
Upside Down Catfish,/species-spotlight/upside-down-catfish/,Synodontisnigriventris,Actinopterygii,Siluriformes,Mochokidae,Peaceful,Bottom,Omnivore,6.75,12.5,25.85,10.0,AF,5.8183618,-5.077085,2.0337772
Venezuelan Orange Corydoras,/species-spotlight/venezuelan-orange-corydoras/,Corydorasvenezuelanus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.25,10.0,22.5,5.5,SA,-13.022497,0.64244014,-0.36797988
Vietnamese Cardinal Minnow,/species-spotlight/vietnamese-cardinal-minnow/,Tanichthysmicagemmae,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,11.5,21.1,3.0,AS,-5.339574,4.6454844,2.9011793
Vogelkop Blue Eye Rainbowfish,/species-spotlight/vogelkop-blue-eye-rainbowfish/,Pseudomugilreticulatus,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,6.0,8.5,25.0,3.5,AS,3.839441,7.743259,-2.0553637
Volcano Rasbora,/species-spotlight/volcano-rasbora/,Rasboravulcanus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,8.5,24.45,4.0,AS,-5.8509097,5.577521,0.50982165
Vulcan Corydoras,/species-spotlight/vulcan-corydoras/,Corydorassp,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA,-12.895801,-2.0996504,1.6398509
Weather Loach,/species-spotlight/weather-loach/,Misgurnusanguillicaudatus,Actinopterygii,Cypriniformes,Cobitidae,Peaceful,Bottom,Omnivore,7.0,6.5,17.5,30.0,AS,2.7535725,-7.4985533,1.6095568
White Cloud Mountain Minnow,/species-spotlight/white-cloud-mountain-minnow/,TanichthysAlbonubes,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,12.0,18.9,4.0,AS,-4.694349,4.0319624,2.947365
Wild Type Tiger Shrimp,/species-spotlight/wild-type-tiger-shrimp/,Caridinamariae,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.0,21.1,4.0,AS,-5.1739235,7.723223,2.4492571
X Ray Tetra,/species-spotlight/x-ray-tetra/,Pristellamaxillaris,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,11.0,25.85,5.0,SA,7.2369137,1.3547492,1.3866334
Xingu Black Neon Tetra,/species-spotlight/xingu-black-neon-tetra/,Moenkhausiaheikoi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,11.5,25.0,6.0,SA,6.546561,1.2353368,0.76456
Xingu Corydoras,/species-spotlight/xingu-corydoras/,Corydorasxinguensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.5,24.5,5.0,SA,-13.247285,1.6714069,-2.0239718
Yellow Nose Sulawesi Shrimp,/species-spotlight/yellow-nose-sulawesi-shrimp/,CaridinaSpinata,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,8.0,7.0,28.35,3.0,AS,-6.021845,9.750076,-1.5663682
Yellow Tailed Congo Tetra,/species-spotlight/yellow-tailed-congo-tetra/,Alestopetersiuscaudalis,Actinopterygii,Characiformes,Alestidae,Peaceful,Bottom - Middle,Omnivore,7.25,15.0,24.15,6.0,AF,-10.875664,-2.4140682,2.2702754
Yellowtail Rasbora,/species-spotlight/yellowtail-rasbora/,Rasboratornieri,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,24.5,15.0,AS,-4.7131567,-2.2739105,0.0194131
Yoma Danio,/species-spotlight/yoma-danio/,Daniofeegradei,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,9.5,21.4,8.0,AS,-4.326381,2.314222,0.52895504
Yoyo Loach,/species-spotlight/yoyo-loach/,BotiaAlmorhae,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom,Omnivore,6.8,7.5,25.3,15.0,AS,4.033993,-2.9850864,-0.19196285
Zebra Danio,/species-spotlight/zebra-danio/,Brachydaniorerio,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,20.55,6.0,AS,-4.5771103,3.7940967,0.74869794
Zebra Loach,/species-spotlight/zebra-loach/,Botiastriata,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom,Omnivore,6.75,8.5,23.6,10.0,AS,5.51447,-2.8243098,0.0062831854
Zebra Nerite Snail,/species-spotlight/zebra-nerite-snail/,Neritinanatalensis,Gastropoda,Cycloneritida,Neritidae,Peaceful,Bottom,Herbivore,7.5,15.0,23.5,2.5,AF,6.2372704,-10.46386,0.97847396
Zebra Pleco,/species-spotlight/zebra-pleco/,Hypancistruszebra,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,7.0,9.0,27.8,10.0,SA,5.0346513,-2.367919,1.3876934
